source_record_id,source_name,source_row_number,price_original,reason_code
SRCR-816275a9765c32f299033676,REGISTERED,424,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-8fb675f44f09190c1ecd9c41,REGISTERED,441,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-7163997f497dd147e66a1bc4,REGISTERED,442,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-6778252ba88156fcbe093416,REGISTERED,447,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-e96741e46cbe42d4d6058f1a,REGISTERED,457,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-82972590876fb9a934bf0f9e,REGISTERED,461,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-33543ac06af977341fac6a4e,REGISTERED,467,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-673106425068810eaf74db76,REGISTERED,474,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-9e083179ae3286f8bf9576d3,REGISTERED,478,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-abdb15a5433a1d77a8fa2c77,REGISTERED,491,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-60519c0367d2a66d0bbd81f5,REGISTERED,510,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-3e92f2e22cfc90fc86b234cb,REGISTERED,511,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-20fce4087523d38f7cbdde1c,REGISTERED,512,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-2f9b575b9d3c621462f4c785,REGISTERED,513,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-dcee013e88373fa27be749c8,REGISTERED,518,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-8f522de0872287761f2dd43f,REGISTERED,538,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-203a7fda1d5b8d19c3fdc0df,REGISTERED,541,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-ab228a56088f8218349655f1,REGISTERED,542,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-e72e63c9ab84dcf735d5f813,REGISTERED,543,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-9696f407cf6ac9a2a269c957,REGISTERED,546,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
