manufacturer_id,display_name,normalized_name,source_verified
MFR-bf97653be082e5fb4939b3c1,Empiric Laboratories Ltd.,empiric laboratories limited,0
MFR-c03589a94f86c24f81aeceb7,G. A. Company Ltd.,g a company limited,0
MFR-c143cde18fbcc28aa7918105,Serum Institute of India,serum institute of india,0
MFR-c1f3585c0491d9f8f07c48ec,Modern Pharmaceuticals Ltd.,modern pharmaceuticals limited,0
MFR-c427081e27e111de0af41e27,"Rotexmedica GmbH, Germany",rotexmedica gmbh germany,0
MFR-c467ab7da1372523292f7907,Delta Pharma Limited,delta pharma limited,0
MFR-c4d854ec4daac77c515d43d4,Merck,merck,0
MFR-c58d1865c02fdba433d99ddc,Radiant Pharmaceuticals Ltd.,radiant pharmaceuticals limited,0
MFR-c5ecb42e5f76d44b02fcafcf,Edruc Ltd.,edruc limited,0
MFR-c71e80678955e8080e5141f2,Jayson Pharmaceuticals Ltd.,jayson pharmaceuticals limited,0
MFR-c76e06157d05d00602a3b0c8,Premier Pharmaceuticals Ltd.,premier pharmaceuticals limited,0
MFR-c8025510b94b5a494743b1ef,Reckitt Benckiser Bangladesh Ltd.,reckitt benckiser bangladesh limited,0
MFR-c87720848a5939fbf1df7b4e,Orbit Pharmaceuticals Ltd.,orbit pharmaceuticals limited,0
MFR-ca71088f811f1d7014e8986b,Bangladesh Antibiotic Industries Limited,bangladesh antibiotic industries limited,0
MFR-cb787b80c55423d010dec94b,"Renata Limited, Gazipur",renata limited gazipur,0
MFR-cc04d81f797208a4cee79c43,The White Horse Pharmaceuticals Ltd.,the white horse pharmaceuticals limited,0
MFR-cc6fcba131c34ec26a19238a,Albion Laboratories Ltd.,albion laboratories limited,0
MFR-cc9897afdeb70a1a779f7214,Nippon Kayaku Ltd.,nippon kayaku limited,0
MFR-cccde4521bbcb8a109c8edfe,Gulf pharmaceutical industries,gulf pharmaceuticals industries,0
