source_record_id,source_name,source_row_number,generic_original,strength_original,parse_status,parse_reason
SRCR-019424658615b3b550766c72,REGISTERED,30918,Glycerine + Liquid Sugar,.75 ml + 1.93 ml/5 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-0036df00defdd9abe65d1634,REGISTERED,30939,Clobetasol Propionate + Neomycin Sulphate + Nystatin,50 mg + 500 mg + 100 Lac IU/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-3be8d009eb0043dcf547c188,REGISTERED,30940,Clobetasol Propionate + Neomycin Sulphate + Nystatin,50 mg + 500 mg + 100 Lac IU/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-f63aeddf0483091bf4c96f41,REGISTERED,30969,Hydrocortisone Acetate + Pramoxine,2.5 gm + 1 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-1cb48531fd1850f9977e3ec5,REGISTERED,30970,Hydrocortisone Acetate + Pramoxine,2.5 gm + 1 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-949b70ee0ae0017b00544b0c,REGISTERED,30989,Gramicidin + Neomycin Sulphate + Nystatin + Triamcinolone Acetonide,25 mg + 250 mg + 100 Lac IU + 100 mg/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-cd467bda9dadd5a9e09d421e,REGISTERED,30991,Ascorbic Acid + Cod Liver Oil + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin A + Vitamin B1 + Vitamin D3 + Vitamin E,17.5 mg + 100 mg + 9 mg + .35 mg + .85 mg + 2000 IU + .7 mg + 200 IU + 1.5 mg/5 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-5bf7ff01b2babe37f48198b1,REGISTERED,30992,Hydrocortisone + Miconazole Nitrate,1 gm + 2 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-5fca50be81591898048e5f5d,REGISTERED,31019,Phytomenadione,2 mg/.2 ml,FAILED,UNSUPPORTED_STRENGTH_PATTERN
SRCR-c04c64f8c7bf7f00e0d39e16,REGISTERED,31045,Diphenhydramine Hydrochloride + Zinc Acetate,20 mg + 1 mg/gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
